"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"42639",37.7,0,19.21,10.3,9.5,0.1994,0
"42640",46.3,0,18.84,15,12,0.2144,1
"42642",35.2,0,17.74,13.1,8.9,0.18,0
"42644",49.5,0,17.73,NA,10.9,0.1691,0
"42812",NA,0,18.51,11.1,9.4,0.1381,0
"42813",33.1,0,18.51,10.3,8.1,0.1872,0
"42814",42.3,0,18.96,14.7,9.9,0.2076,0
"42816",NA,0,18.01,13.7,NA,0.1994,NA
"42817",34.3,0,17.9,13.2,8.5,0.1785,NA
"42818",34.5,0,17.95,11.7,9.9,0.1678,NA
"42820",33.8,0,18.42,12.8,9,0.1777,NA
"42821",NA,0,18.47,9.9,7.7,0.1859,0
"42822",38.6,0,18.22,10.8,8.2,0.2018,0
"42823",33.5,0,17.46,11.3,8.6,0.1825,0
"42824",36.1,0,18,11.4,8.6,0.2105,0
"42825",31.6,0,17.91,11.3,7.8,0.1909,0
"42827",NA,0,18.42,11.8,7,0.1859,1
"42828",38.6,0,18.2,11.3,8.5,0.1741,0
"42829",31.5,0,18.03,12.6,10,0.1461,1
"42830",35.3,0,17.88,11.7,10.1,0.1721,0
"42831",42.1,0,18.34,15.2,10.8,0.1684,0
"42832",NA,0,18.34,11.1,10.9,0.1716,0
"42834",31.3,0,17.87,10.8,7.1,NA,0
"42836",43.2,0,17.92,15,10.9,NA,1
"42837",NA,0,19.01,10.7,10.2,0.2238,0
"42838",34.7,0,18.36,11.8,9,0.1387,0
"42839",41.1,0,18.81,10.9,9.8,0.2164,0
"42840",34.4,0,18.19,11.8,9.5,0.1888,0
"42841",29.5,0,18.37,10.6,7.8,0.1915,0
"42842",NA,0,18.21,10.2,9.3,0.1989,0
"42843",NA,0,19.46,12.7,9.2,0.2182,0
"42844",47.7,0,19.24,16.7,11.7,0.1816,0
"42845",34.9,0,18.52,12.4,8.6,0.1933,0
"42846",48.5,0,19.34,13.7,11,0.2042,1
"42847",47.7,0,19.14,14.6,11,0.1943,0
"42848",NA,0,17.88,12.7,9.4,0.0787,0
"42849",52.6,0,18.56,13.6,10.9,0.2118,0
"42850",36.2,0,17.82,11.9,8.5,0.1598,1
"42852",36.5,0,17.34,10,7.2,0.1236,NA
"42853",NA,0,18.01,11,7.7,0.1573,1
"42854",30.2,0,17.84,9.3,7.8,0.1608,0
"42855",43.5,0,18.22,12,10.2,0.2259,0
"42856",38.1,0,17.95,12.2,7.9,0.2157,0
"42857",33.3,0,17.44,10.6,6.9,0.2105,0
"42858",NA,0,18,11.3,9.1,0.1721,0
"42865",53.2,0,18.11,14.6,10.6,0.1718,0
"42866",40.3,0,18.3,13.6,8.9,0.1969,0
"42867",35.2,0,18.37,11,9.8,0.2104,0
"42869",35,0,17.91,11.3,9,0.1776,1
"42870",NA,0,18.07,13,9.8,0.2068,0
"42871",NA,0,18.23,11.7,8.5,0.1672,NA
"42916",41.2,0,18.05,12.7,8.7,0.1959,1
"42917",34.5,0,18.29,11.6,8,0.2118,0
"42919",36.9,0,18.09,9.9,6.9,0.1778,1
"42920",30.8,0,17.51,11,8.7,0.1919,1
"42921",36.8,0,17.96,13,10.9,0.2027,0
"42922",40,0,18.61,13.5,8.9,0.1991,NA
"42923",34.6,0,17.64,11.5,8.1,0.1991,0
"42924",36.7,0,18.99,15.9,8.3,0.201,1
"42925",33.9,0,17.49,13,9.2,0.143,1
"42926",37,0,18.31,12.8,9.5,0.1894,1
"42927",36.3,0,18.02,9.5,7.8,0.199,1
"42928",37,0,17.45,12.3,8.1,0.1721,1
"42929",37.7,0,17.9,11.6,9.5,0.1524,1
"42930",30.4,0,18.08,10.3,9,0.1701,1
"42931",42.2,0,18.86,14.9,9.9,0.204,1
"42932",38.7,0,18.29,11.3,8.9,0.1869,0
"42933",35.8,0,18.15,11.9,10.6,0.1662,1
"42934",32.6,0,17.64,11.7,7.6,0.1616,1
"42935",38.7,0,18.32,13.7,10.8,0.1542,0
"42936",40.8,0,18.12,11.9,11.3,0.196,1
"42938",43.7,0,18.83,12.8,8,0.2023,1
"42939",48,0,18.6,11.4,9.2,0.1763,0
"42940",35.4,0,18.25,12,9.3,0.206,0
"42941",43,0,18.4,12,8.8,0.2024,0
"42945",39.7,0,18.06,12.6,9.6,0.1768,0
"42947",39.3,0,18.21,12.9,6.7,0.1833,0
"42948",37.8,0,17.99,13.4,7.6,0.1945,0
"42949",37.8,0,18.58,11.8,10.2,0.2028,0
"42950",42.2,0,18.89,11.6,9.8,0.193,0
"42951",39.7,0,18.97,13.3,11.3,0.2263,NA
"42952",38.8,0,18.26,10.8,9,0.181,0
"42955",38.4,0,18.83,12.5,8.7,0.2196,0
"42958",37.1,0,19.31,12.3,8.1,0.1903,0
"42959",38.7,0,19.09,12.8,9.4,0.2189,0
"42960",43.3,0,18.14,14.4,10.8,0.1796,1
"42961",40.2,0,18.45,13.6,9,0.1673,0
"42963",34.8,0,18.2,11.1,8.9,0.203,1
"43143",45.2,0,17.89,13.6,9.5,0.1745,0
"43144",41,0,18.43,11.1,9.7,0.1799,0
"43145",39,0,18.02,11.3,8,0.1673,0
"43148",50.6,0,19.04,14.6,12.4,0.1977,0
"43149",36,0,18.13,11.4,10,0.1603,0
"43152",48.9,0,18.9,12.5,11.6,0.2352,0
