"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"47014",30.9,0,17.96,11.5,7.1,0.1326,1
"47015",36.9,0,18.58,15,NA,0.2137,0
"47016",31.5,0,17.9,12.1,9.5,0.1806,0
"47017",34.3,0,18.01,11.5,8.1,0.1829,0
"47018",25.6,0,17.26,11.1,7.1,0.1367,0
"47019",33,0,18.97,13.6,12.6,0.1904,0
"47020",32.1,0,18.7,11.1,NA,0.1777,0
"47021",38.1,0,18.51,12.8,9.5,0.1728,0
"47022",40.5,0,NA,11.8,7.2,0.1958,1
"47023",38.5,0,18.67,11.9,9.8,0.189,0
"47024",34,0,18.66,11.2,7.8,0.2031,0
"47025",39.8,0,17.93,11,6.9,0.1836,0
"47026",32.2,0,19.07,NA,10.6,0.1705,0
"47027",48.3,0,19.31,14.4,11,0.1596,0
"47028",39.6,0,NA,NA,NA,0.1395,1
"47029",41.5,0,18.26,12.9,NA,0.1409,0
"47030",42.7,0,18.97,13.2,9.1,0.1948,1
"47032",40.8,0,18.25,11.3,8.9,0.248,0
"47033",43.1,0,18.48,13.1,10.6,0.2045,0
"47034",45.1,0,19.48,14.8,11.5,0.17,0
"47035",46,0,18.82,13.6,10.3,0.1939,0
"47036",46.9,0,18.67,NA,11.5,0.1722,1
"47038",40.3,0,18.07,13.6,11.1,0.1968,0
"47039",39,0,18.5,12.4,11.3,0.2166,0
"47040",49.2,0,19.2,14.7,11,0.2104,0
"47041",37.3,0,18.18,11.3,10.9,0.1779,0
"47042",38.1,0,19,12.5,9.7,0.1797,0
"47044",40.3,0,18.15,11.4,8.6,0.1997,1
"47045",35,0,18.86,13.2,7.7,0.1796,0
"47046",43,0,19.49,13.8,10.5,0.1552,0
"47047",39.5,0,18.77,13.1,9.1,0.1846,0
"47048",35.9,0,18.04,10.4,8.4,0.144,0
"47049",43.1,0,19.14,12.9,9.9,0.1804,0
"47050",33.4,0,18.22,10.3,9.8,0.1935,0
"47051",32.6,0,17.71,10.3,7.3,0.1645,0
"47052",40.1,0,18.51,14,11.1,0.1538,0
"47053",40.8,0,18.4,11.4,10,0.1564,0
"47054",35.6,0,18.24,13.8,10.4,0.2196,0
"47055",39.9,0,18.17,11.7,9.3,0.1712,0
"47056",48.1,0,18.77,13.2,10.9,0.2194,1
"47057",29.9,0,18.72,NA,9.7,0.2285,0
"47058",38.1,0,18.46,12.3,10.3,0.1739,0
"47059",43.3,0,18.86,13.9,9.9,0.197,0
"47060",36.3,0,17.77,11.6,10.2,0.1635,0
"47061",37.2,0,18.34,12.9,9.9,0.1715,0
"47062",45,0,18.68,15.6,13.6,0.2211,0
"47063",48.4,0,18.66,13.3,11.1,0.2075,0
"47064",46.3,0,18.69,16.3,NA,0.1758,0
"47065",42.6,0,18.55,13.3,NA,0.1689,0
"47066",39,0,18.55,12.2,11.3,0.1857,1
"47067",37.4,0,18.2,11.5,8.5,0.1999,0
"47068",37.8,0,18.44,13.9,7.7,0.2011,0
"47069",43.8,0,18.92,13.1,10.2,0.1894,0
"47071",38.9,0,18.53,10.6,10.8,0.1785,0
"47072",41,0,18.44,14.1,7.4,0.2041,0
"47073",43.8,0,18.44,13.2,8.9,0.1623,0
